Cond,FamIDNO,FamMem,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,Sex,Age1,Ht1,Wt1
1,62,1,4,3,7,7,7,7,6,7,4,5,7,7,7,7,1,41,65,1.47
1,62,2,14,10,14,15,18,12,16,14,16,12,12,14,13,12,0,50,73,2.39
1,62,3,6,7,7,7,7,9,5,3,9,11,12,13,12,12,0,10,59,1.01
1,62,4,9,5,10,11,10,9,7,9,8,8,8,9,8,5,1,13,64,1.25
1,63,1,3,4,5,5,4,4,6,7,5,9,,,,,1,32,66.25,1.81
1,63,2,5,6,7,10,7,2,12,14,16,8,,,,,0,32,70.75,1.85
1,63,3,5,9,9,9,9,8,9,9,9,6,,,,,1,8,53.5,0.79
1,63,4,5,6,5,9,6,6,8,14,8,7,,,,,1,10,58,0.845
1,64,1,2,2,2,2,1,1,3,5,3,5,3,3,3,2,1,37,65.75,1.645
1,64,2,11,13,12,12,16,24,18,15,16,12,16,16,10,18,0,36,67.5,2.48
1,64,3,7,6,5,6,0,5,9,9,6,6,6,7,5,5,0,9,52.5,0.835
1,65,1,3,6,7,8,8,14,10,8,0,8,2,6,6,8,1,41,63.5,1.345
1,65,3,6,7,7,8,7,5,9,8,10,10,2,2,0,1,0,11,56.5,0.955
1,65,4,8,9,8,12,14,12,15,13,15,6,5,8,6,7,1,8,52,0.745
1,66,1,9,9,2,1,7,7,6,7,7,7,7,7,7,7,1,37,65,1.2
1,66,2,2,20,8,0,20,14,14,14,14,14,14,14,14,14,0,37,65.5,1.65
1,66,3,8,7,2,0,12,7,7,7,7,7,7,7,7,7,1,8,52.5,0.76
1,67,1,4,8,9,2,10,7,,8,9,8,7,4,5,5,1,37,64.25,1.48
1,67,3,2,11,14,11,13,13,13,11,13,9,4,10,7,5,0,10,55.75,0.935
1,67,4,0,6,3,3,,5,2,,,,,,,,1,16,64,1.13
1,68,1,9,12,14,14,11,13,9,13,11,11,,9,13,15,1,47,61,1.53
1,68,3,14,9,15,12,9,8,11,13,12,10,,11,16,17,0,11,61.5,1.23
1,69,1,0,1,2,4,8,12,,,,,,,,,1,36,64,1.825
1,69,2,12,18,13,12,25,14,,,,,,,,,0,39,63,1.465
1,69,3,10,6,6,9,14,11,,,,,,,,,0,8,54,1.235
1,69,4,8,3,2,8,14,13,,,,,,,,,1,11,55.75,0.72
1,69,5,9,10,6,10,10,10,,,,,,,,,1,14,61.75,1.05
1,70,1,1,2,1,2,4,4,3,2,2,2,0,5,6,6,1,43,62,1.61
1,70,2,10,10,8,8,8,7,,7,9,9,7,7,7,7,0,44,71,2.175
1,70,3,17,12,14,12,14,11,12,18,15,14,14,15,17,13,0,10,57.25,1.04
1,70,4,4,7,4,6,10,6,6,8,8,0,1,2,5,5,1,12,58.5,0.775
1,70,5,16,12,9,12,14,12,7,14,13,14,14,8,12,11,0,14,66,2.19
1,71,2,7,10,10,10,10,8,12,6,10,10,12,8,12,4,0,34,68.5,1.735
1,71,3,2,5,5,4,1,7,2,5,2,6,3,7,0,2,0,8,51,0.67
1,73,1,6,6,3,7,4,3,8,5,4,6,10,6,11,8,1,33,65.5,2.15
1,73,2,0,2,11,4,3,7,9,8,6,5,3,5,4,2,0,32,65.75,2.21
1,73,3,13,7,0,7,6,2,2,6,5,5,0,1,0,1,1,9,54.25,1.16
1,74,1,0,2,3,1,3,2,1,,,,,,,,1,29,60.5,1.77
1,74,2,0,0,0,0,0,0,,,,,,,,,0,34,65.75,1.79
1,74,3,2,3,3,3,4,2,1,,,,,,,,1,10,52,0.87
1,74,4,2,3,3,3,7,7,1,,,,,,,,1,11,53,0.62
1,74,5,5,5,7,7,7,7,4,,,,,,,,1,8,41.5,0.4
1,75,1,4,2,5,5,5,4,6,7,9,7,4,5,5,,1,40,70,2
1,75,3,4,8,8,5,7,6,7,7,8,7,6,6,7,,1,12,63.25,2.23
1,75,4,5,6,6,4,5,7,7,7,7,7,5,6,6,,1,11,63.25,1.8025
1,101,1,6,5,7,6,9,5,7,6,6,4,4,7,3,6,1,34,65.5,1.18
1,101,3,4,5,4,5,6,3,3,4,4,4,3,5,2,4,0,8,53,0.93
1,101,4,5,6,5,4,6,3,5,5,5,5,1,2,4,2,1,10,62.25,1.15
1,102,1,1,3,4,6,10,6,6,,,,,,,,1,29,65.75,1.325
1,102,3,6,14,12,13,5,12,11,,,,,,,,0,11,58,1.26
1,104,1,5,5,1,6,7,4,4,6,4,5,5,4,1,4,1,50,61.5,1.55
1,104,2,3,5,1,4,4,3,5,5,5,3,4,4,3,4,0,54,70.75,2.05
1,104,3,10,8,1,10,10,12,12,10,8,6,12,8,2,6,0,10,56,1.16
1,105,1,1,3,1,2,2,2,1,2,2,,,,,,1,40,63,1.98
1,105,2,4,1,0,0,0,0,0,0,0,,,,,,0,45,67,2.78
1,105,3,1,3,3,3,7,4,0,2,5,,,,,,1,9,58,1.435
1,105,4,6,4,2,2,0,3,4,3,4,,,,,,0,12,65,1.5
1,106,1,3,4,6,6,6,8,7,6,6,6,8,6,6,6,1,39,65.25,1.86
1,106,2,7,4,6,6,6,7,6,6,6,6,6,6,6,6,0,39,65,1.82
1,106,3,6,6,8,6,6,9,8,8,8,8,6,8,8,8,0,12,59,1.14
1,107,1,1,6,6,7,7,,7,8,5,6,7,8,8,9,1,45,67.75,1.725
1,107,3,1,8,4,8,4,,5,5,4,5,3,6,7,8,0,9,52,0.8175
1,108,1,2,3,3,2,3,0,1,1,3,0,,,,,1,27,65,1.45
1,108,3,2,7,3,3,2,0,3,1,3,2,,,,,0,8,50,0.6775
1,109,1,4,7,8,6,3,5,0,3,2,6,5,5,4,2,1,42,68,1.93
1,109,2,5,5,6,,7,6,0,5,5,6,6,6,6,7,0,42,72,1.8725
1,109,3,6,6,8,6,5,5,3,5,6,6,5,4,4,3,1,12,61.25,1.4425
1,110,1,4,9,12,12,13,13,11,11,11,5,8,10,9,11,1,39,69,2.03
1,110,3,5,6,10,11,10,7,8,8,8,3,4,4,7,4,1,10,63,1.35
1,111,1,2,0,,,,,,,,,,,,,1,38,57.5,1.41
1,111,3,3,0,1,,0,2,2,0,,,,,,,1,10,55.5,1.17
1,112,1,6,6,7,8,8,8,8,10,10,6,9,10,8,5,1,49,66.5,1.49
1,112,3,14,14,14,14,14,14,14,14,14,6,11,10,11,9,1,10,62.25,1.6075
1,113,1,3,3,3,3,1,2,,5,7,4,3,4,5,4,1,38,68,1.46
1,113,2,4,5,7,5,4,3,,0,5,1,1,0,0,0,0,37,71,1.74
1,113,3,7,5,8,3,6,0,,6,7,0,6,0,5,1,1,12,66.5,1.32
1,113,4,7,6,8,3,5,0,,6,7,0,6,0,5,1,0,9,56,0.78
1,114,1,0,3,3,5,3,2,4,4,7,7,6,4,2,3,1,43,66.75,2.2
1,114,3,6,11,7,5,6,6,5,4,7,6,6,9,7,5,0,9,55.5,0.8925
1,115,1,4,7,6,3,5,,5,4,4,,,,,,1,39,61.25,1.2675
1,115,3,7,6,8,2,5,,6,4,7,,,,,,1,8,53.75,1.02
1,115,4,5,8,4,3,5,,4,3,6,,,,,,1,11,56,0.9675
1,116,1,3,3,,5,4,3,,0,0,,,,,,1,37,65.75,2.145
1,116,3,12,9,,12,14,14,,10,7,,,,,,1,9,56.5,1.23
1,117,1,6,3,2,6,2,,,1,2,3,1,1,4,3,1,43,67,2.09
1,117,3,11,10,9,7,5,,9,5,5,5,8,2,6,3,1,12,63.75,1.4725
1,118,1,5,3,7,3,5,6,7,6,4,4,4,4,3,3,1,37,62,2.0225
1,118,2,4,0,3,3,1,1,3,2,2,0,2,2,0,0,0,38,71.5,2.2525
1,118,3,14,10,10,12,13,14,14,14,6,12,12,12,10,12,0,8,55.5,0.97
1,118,4,11,6,14,13,15,13,14,14,8,12,6,12,12,12,0,11,60,0.9525
1,119,1,6,6,6,6,6,11,4,8,9,4,5,5,5,5,1,41,61,1.72
1,119,2,1,0,1,1,2,4,0,3,3,2,0,2,0,0,0,41,70,2.4
1,119,3,6,5,7,4,9,7,5,6,8,5,3,8,5,5,0,9,52,0.8
1,119,4,11,7,7,6,9,7,2,6,7,4,3,5,5,5,1,11,57,0.72
1,120,1,1,12,13,14,12,10,11,13,10,11,11,8,9,9,1,41,66.5,1.68
1,120,3,4,9,13,12,13,10,12,9,8,10,9,9,9,2,0,8,52,0.98
1,120,4,4,12,14,13,14,10,13,13,9,11,12,9,9,7,0,13,61.5,1.02
1,121,3,3,8,10,8,11,12,12,,,,,,,,1,10,59,1.13
1,121,4,5,10,4,11,10,10,12,,,,,,,,0,13,64.25,1.21
0,299,1,1,1,1,0,4,2,0,2,3,2,5,7,6,8,1,31,69.25,1.83
0,299,2,6,4,2,0,3,6,10,3,4,8,5,4,4,8,0,31,71.5,2.44
0,299,3,5,9,8,7,11,11,8,12,12,8,10,13,10,8,0,9,59.5,1.38
0,300,1,3,0,7,1,2,2,0,0,0,0,3,3,3,3,1,52,67.75,1.665
0,300,2,7,3,4,5,3,3,4,6,2,1,12,12,12,12,0,51,66,1.86
0,300,3,3,1,2,1,0,2,0,0,1,1,8,8,8,8,0,10,59.5,1.07
0,300,4,1,0,0,0,0,3,0,1,1,1,0,6,8,8,0,10,58,0.92
0,300,5,3,1,2,4,0,4,3,17,4,2,9,12,12,12,0,12,62,0.98
0,301,1,9,6,5,3,2,1,5,3,,7,7,8,7,6,1,50,64.5,1.08
0,301,2,3,3,0,1,0,1,1,0,,2,2,4,3,2,0,51,70,2.04
0,301,4,19,10,15,11,11,7,7,8,,11,9,8,11,6,0,15,64.75,0.9
0,302,1,3,3,4,4,0,0,5,4,4,2,0,1,0,1,1,46,62.75,1.285
0,302,2,0,0,2,10,6,0,1,6,2,0,0,1,0,0,0,48,71,1.91
0,302,3,6,5,7,3,3,0,2,0,0,1,0,2,4,3,1,8,51.5,0.61
0,302,4,3,5,0,3,2,0,3,2,3,0,3,3,4,3,1,8,50.5,0.7025
0,303,1,3,0,0,0,5,1,3,5,5,3,4,8,5,7,1,41,62.5,1.66
0,303,2,7,0,2,0,8,5,9,3,10,7,6,6,4,7,0,39,73,2.1425
0,303,3,8,12,10,6,12,9,8,10,13,10,6,12,11,9,0,9,54.75,0.8625
0,303,4,13,9,17,5,7,6,7,10,12,6,6,9,10,3,0,12,62.25,1.02
0,304,1,2,5,3,0,2,1,,1,3,1,0,4,0,2,1,43,65,1.5
0,304,2,1,0,0,0,1,,,1,0,1,0,0,0,0,0,45,75.25,2.26
0,304,3,2,1,2,1,2,,,2,1,1,0,4,0,0,1,9,56.25,0.96
0,304,4,2,1,0,2,3,,,3,0,0,0,1,0,0,0,12,61.5,1.05
0,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,49,64.25,2.37
0,305,3,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,10,54,1.47
0,307,1,3,4,0,1,6,8,3,5,3,5,6,4,3,3,1,38,66.5,1.7
0,307,3,6,5,3,0,8,5,3,5,3,5,8,12,5,5,1,11,59.75,1.33
0,307,4,3,0,,,,,,,,,,,,,1,13,64.5,1.6
0,308,1,4,0,3,0,1,2,1,2,3,4,2,2,3,3,1,43,64.25,1.185
0,308,2,3,4,1,3,1,3,4,7,4,6,7,6,7,6,0,49,70,2.5975
0,308,3,3,0,7,0,0,1,3,7,8,6,5,4,6,2,1,12,65,1.4125
0,308,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,13,63.5,1.52
0,312,1,6,7,5,7,5,6,6,5,5,7,8,7,5,5,1,37,64,1.51
0,312,2,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,49,68,2.28
0,312,3,1,3,3,0,0,1,0,0,0,2,1,0,0,1,0,11,66,1.45
0,313,1,4,0,0,7,4,6,3,5,8,4,4,4,5,7,1,32,65.75,1.54
0,313,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,67.25,1.835
0,313,3,6,6,7,11,9,5,6,5,9,7,5,9,7,7,1,9,53.75,0.89
0,313,4,6,6,4,4,5,2,5,5,4,8,2,6,5,4,1,15,62.75,1.27
0,314,1,10,2,2,5,4,2,2,2,3,2,1,1,0,0,1,40,63.5,1.92
0,314,3,4,4,5,2,10,3,2,3,5,6,3,3,4,2,0,10,57.5,1.08
0,314,4,4,5,1,9,3,0,2,8,3,6,4,3,7,5,1,12,60.5,0.965
0,315,1,2,1,0,0,1,2,0,0,,,,,,,1,35,67.75,2.955
0,315,3,0,0,2,1,1,0,0,0,,,,,,,1,12,60,2.185
0,316,2,0,0,0,0,0,0,0,,,,,,,,0,46,70.5,2.22
0,316,3,2,0,0,,,,,,,,,,,,0,11,59.5,1.155
0,317,1,0,0,0,0,1,2,0,0,0,1,1,0,1,,1,39,63,1.885
0,317,3,2,3,2,1,1,2,0,0,1,5,5,3,1,,1,10,58.25,0.995
0,318,2,10,15,16,16,2,16,14,13,12,15,12,11,12,11,0,38,70.5,1.92
0,318,3,2,2,2,3,0,7,4,2,4,4,0,0,1,2,0,11,57,1.055
0,320,1,1,7,7,4,5,6,6,7,7,8,6,6,5,6,1,48,62.25,1.55
0,320,2,9,21,21,21,21,21,18,21,21,18,21,21,19,20,0,52,71.5,1.97
0,320,3,0,2,2,6,3,3,4,4,6,6,5,4,4,3,1,12,61,1.32
0,321,1,0,2,0,2,0,1,0,0,0,0,0,1,0,2,1,33,59.25,2.01
0,321,3,1,0,1,3,4,1,0,0,2,1,0,0,1,2,1,9,51.25,0.8
0,321,4,1,0,2,3,5,2,0,0,2,1,0,0,1,2,0,10,59.25,1.75
0,323,1,7,10,12,9,11,10,9,9,9,7,7,9,9,7,1,41,67.25,1.46
0,323,2,0,0,0,0,0,4,0,4,0,0,0,0,1,1,0,48,73,2.395
0,323,3,4,2,5,3,6,3,5,6,6,4,3,4,4,4,1,11,57.25,1.12
0,323,4,6,5,0,4,8,7,7,6,6,7,3,6,5,5,1,12,59.75,0.885
0,323,5,3,3,5,5,7,6,5,7,5,7,4,5,5,5,1,8,49.75,0.6725
0,324,1,3,1,0,1,0,0,1,1,0,0,1,0,1,1,1,40,65,1.2
0,324,3,2,5,2,1,2,3,2,4,2,3,4,2,3,2,1,10,56.75,1
0,325,1,0,0,1,2,2,1,1,1,1,1,1,1,1,1,1,31,59.5,1.675
0,325,3,0,3,5,3,3,2,3,3,3,3,3,3,3,3,0,9,57.75,1.16
0,325,4,0,7,5,4,1,3,3,3,3,3,3,3,3,3,0,11,55.25,0.69
